u_mask,l_mask,presence_fraction,u_vaccination_ratio,l_vaccination_ratio
FALSE,FALSE,overbooked,0.6,0.6
TRUE,TRUE,overbooked,0.6,0.6
TRUE,FALSE,overbooked,0.6,0.6
FALSE,TRUE,overbooked,0.6,0.6
FALSE,FALSE,1,0.6,0.6
TRUE,TRUE,1,0.6,0.6
TRUE,FALSE,1,0.6,0.6
FALSE,TRUE,1,0.6,0.6
FALSE,FALSE,0.5,0.6,0.6
TRUE,TRUE,0.5,0.6,0.6
TRUE,FALSE,0.5,0.6,0.6
FALSE,TRUE,0.5,0.6,0.6
FALSE,FALSE,0.25,0.6,0.6
TRUE,TRUE,0.25,0.6,0.6
TRUE,FALSE,0.25,0.6,0.6
FALSE,TRUE,0.25,0.6,0.6
FALSE,FALSE,overbooked,0.7,0.7
TRUE,TRUE,overbooked,0.7,0.7
TRUE,FALSE,overbooked,0.7,0.7
FALSE,TRUE,overbooked,0.7,0.7
FALSE,FALSE,1,0.7,0.7
TRUE,TRUE,1,0.7,0.7
TRUE,FALSE,1,0.7,0.7
FALSE,TRUE,1,0.7,0.7
FALSE,FALSE,0.5,0.7,0.7
TRUE,TRUE,0.5,0.7,0.7
TRUE,FALSE,0.5,0.7,0.7
FALSE,TRUE,0.5,0.7,0.7
FALSE,FALSE,0.25,0.7,0.7
TRUE,TRUE,0.25,0.7,0.7
TRUE,FALSE,0.25,0.7,0.7
FALSE,TRUE,0.25,0.7,0.7
FALSE,FALSE,overbooked,0.8,0.8
TRUE,TRUE,overbooked,0.8,0.8
TRUE,FALSE,overbooked,0.8,0.8
FALSE,TRUE,overbooked,0.8,0.8
FALSE,FALSE,1,0.8,0.8
TRUE,TRUE,1,0.8,0.8
TRUE,FALSE,1,0.8,0.8
FALSE,TRUE,1,0.8,0.8
FALSE,FALSE,0.5,0.8,0.8
TRUE,TRUE,0.5,0.8,0.8
TRUE,FALSE,0.5,0.8,0.8
FALSE,TRUE,0.5,0.8,0.8
FALSE,FALSE,0.25,0.8,0.8
TRUE,TRUE,0.25,0.8,0.8
TRUE,FALSE,0.25,0.8,0.8
FALSE,TRUE,0.25,0.8,0.8
FALSE,FALSE,overbooked,0.9,0.9
TRUE,TRUE,overbooked,0.9,0.9
TRUE,FALSE,overbooked,0.9,0.9
FALSE,TRUE,overbooked,0.9,0.9
FALSE,FALSE,1,0.9,0.9
TRUE,TRUE,1,0.9,0.9
TRUE,FALSE,1,0.9,0.9
FALSE,TRUE,1,0.9,0.9
FALSE,FALSE,0.5,0.9,0.9
TRUE,TRUE,0.5,0.9,0.9
TRUE,FALSE,0.5,0.9,0.9
FALSE,TRUE,0.5,0.9,0.9
FALSE,FALSE,0.25,0.9,0.9
TRUE,TRUE,0.25,0.9,0.9
TRUE,FALSE,0.25,0.9,0.9
FALSE,TRUE,0.25,0.9,0.9
